Area,Bedrooms,Year,Price
3707,2,2024,31629255.331477977
4638,4,2024,46767891.727104336
4366,3,2023,38703422.805498295
4023,4,2016,27456975.0
3391,4,2019,26791581.009375006
4223,1,2018,24443251.875000004
3207,3,2021,25786120.316906262
2308,3,2016,14540400.0
2870,2,2019,19186766.156250007
1321,2,2017,8010213.750000001
1271,1,2023,9389229.345279496
3317,4,2022,30337788.662680093
2224,1,2017,12259800.0
4603,3,2019,33569851.612500004
4369,1,2018,25288318.125000004
1975,1,2018,11431546.875000002
1637,3,2018,11370192.750000002
4961,1,2021,33241072.365703136
2078,3,2018,14433268.500000002
3758,2,2019,25123298.681250006
2215,2,2023,17999100.94396026
1463,4,2023,14049862.542712096
2332,1,2020,14881443.018750003
3729,1,2016,19577250.0
1461,4,2020,12120207.858281253
1648,1,2017,9084600.0
1835,2,2019,12267496.828125004
4040,1,2017,22270500.0
1262,4,2015,8203000.0
4012,1,2017,22116150.0
3200,3,2023,28367144.52075001
2043,1,2016,10725750.0
1184,2,2016,6837600.000000001
3971,1,2020,25340570.423437506
2845,2,2017,17251368.75
2899,1,2016,15219750.0
4760,3,2021,38273131.49625001
1317,1,2019,8004108.656250001
2298,1,2024,17824761.20159315
2002,3,2019,14600661.075000001
4605,3,2023,40822093.91189181
832,4,2017,5962320.0
4522,4,2018,34026071.62500001
921,3,2021,7405368.510093753
760,4,2016,5187000.0
2577,2,2021,18993845.56239845
1854,2,2017,11242192.5
3233,4,2021,28161439.839914072
1099,3,2020,8415800.623125002
986,2,2024,8412852.915251493
2830,1,2015,14150000.0
1159,2,2020,8135656.820156252
4386,3,2023,38880717.45875298
3844,4,2023,36915701.71851353
3642,4,2016,24856650.0
1779,2,2018,11326781.812500004
1022,4,2021,8902255.340671878
3811,4,2024,38428726.90211181
713,3,2019,5199935.737500001
2391,2,2018,15223347.562500004
1704,1,2017,9393300.0
745,4,2020,6180393.466406251
4657,4,2015,30270500.0
1835,3,2019,13382723.812500002
4263,4,2019,33681070.434375
3155,4,2024,31813863.38917942
3088,2,2017,18724860.0
1958,2,2017,11872822.500000002
1525,2,2023,12392157.534780769
3065,1,2017,16895812.5
1255,4,2017,8993643.75
2823,1,2023,20854283.589082625
2673,4,2015,17374500.0
4891,2,2016,28245525.000000004
4637,1,2021,31070117.427890636
4231,1,2020,26999736.454687506
4758,4,2023,45693264.510064356
874,1,2022,6149028.847007815
2368,3,2020,18133408.44
4702,4,2023,45155470.72852513
2568,1,2024,19919054.29316415
2424,2,2015,13332000.000000002
1369,3,2022,11557922.871698443
3999,1,2016,20994750.0
1017,1,2021,6814386.332578127
2285,2,2022,17683734.56173243
1242,4,2021,10818592.10676563
4648,3,2024,43263441.287208855
4179,3,2019,30477603.712500002
3256,3,2017,21538440.0
2631,3,2020,20147380.745625
3852,3,2016,24267600.0
1295,2,2017,7852556.250000001
3977,3,2015,23862000.0
4322,4,2024,43581463.571484454
4724,3,2024,43970846.95369506
1792,1,2019,10890936.000000002
3849,4,2015,25018500.0
1273,4,2020,10560591.788906254
2535,4,2016,17301375.0
4474,1,2018,25896071.250000004
2612,2,2021,19251813.97321876
2868,4,2021,24982062.932531256
4735,2,2018,30147449.062500007
1875,4,2015,12187500.0
1487,2,2021,10959972.196851566
3135,2,2017,19009856.25
4092,2,2023,33251612.217916656
1833,2,2024,15639715.409387412
2895,3,2023,25663401.058616024
4218,2,2023,34275488.840462476
2724,1,2020,17382954.881250005
4251,1,2020,27127364.610937506
636,3,2016,4006800.0
3010,2,2018,19164481.875000007
3082,4,2016,21034650.0
3967,3,2023,35166394.473067276
4756,4,2021,41427716.63428127
2363,1,2024,18328942.87178617
1452,1,2019,8824575.375000002
1567,1,2018,9069991.875000002
678,4,2023,6511146.140778401
1660,2,2015,9130000.0
1327,3,2021,10669841.490656253
2113,3,2017,13977495.0
3987,4,2015,25915500.0
1752,3,2023,15531011.62511063
645,3,2018,4480008.75
2356,4,2019,18614262.712500002
3472,1,2017,19139400.0
2278,4,2015,14807000.0
2682,3,2023,23775213.0014536
1700,3,2015,10200000.0
4178,1,2023,30864044.22075353
4824,3,2023,42763470.36503064
3789,4,2016,25859925.0
4971,1,2016,26097750.0
1046,2,2023,8499801.16811848
3256,1,2018,18846135.000000004
913,4,2024,9206357.297724504
3526,2,2017,21380782.5
1887,3,2016,11888100.0
3492,4,2018,26275772.250000007
2875,2,2018,18304945.312500004
3519,3,2021,28294779.35615626
801,2,2017,4857063.75
948,3,2024,8823954.8924858
2277,4,2020,18889605.265781254
2963,1,2020,18908111.348437503
1002,2,2021,7385267.075484378
4839,3,2024,45041263.42272024
917,4,2015,5960500.0
1972,1,2015,9860000.0
3313,1,2018,19176058.125000004
1301,3,2015,7806000.0
1032,3,2024,9605824.313338973
2487,1,2024,19290766.36569285
