Area,Bedrooms,Year,Price
3232,1,2020,27569000.0
3107,5,2015,17556000.0
2153,3,2023,22764000.0
3764,1,2016,23110000.0
1533,5,2022,15782000.0
4873,4,2018,36103000.0
3968,4,2023,41685000.0
1205,1,2024,13316000.0
3099,1,2016,18975000.0
2635,2,2019,21128000.0
2722,5,2020,23952000.0
3397,3,2016,21095000.0
2201,1,2021,20230000.0
1037,1,2016,6486000.0
3393,2,2024,37450000.0
2663,5,2021,25122000.0
2546,2,2020,21895000.0
2371,1,2023,24630000.0
2996,4,2018,22336000.0
599,1,2024,6746000.0
2508,2,2015,13967000.0
1255,3,2022,12661000.0
1297,5,2024,15213000.0
1159,2,2022,11592000.0
3719,3,2019,29844000.0
923,4,2024,10813000.0
3837,3,2021,35407000.0
3245,3,2024,35975000.0
1044,5,2024,12372000.0
1214,5,2018,9491000.0
2792,3,2019,22513000.0
651,2,2017,4639000.0
3223,1,2017,21824000.0
4031,1,2020,34421000.0
3430,2,2019,27398000.0
1707,4,2017,11930000.0
1302,2,2018,9780000.0
2676,1,2024,29376000.0
2676,5,2016,16904000.0
2456,5,2020,21724000.0
4122,5,2024,45989000.0
4060,5,2018,30302000.0
1256,5,2024,14687000.0
4869,3,2020,41894000.0
4984,4,2022,49154000.0
2141,5,2021,20298000.0
3614,4,2017,24765000.0
4853,4,2023,50789000.0
4571,3,2017,31173000.0
4509,4,2015,25158000.0
2605,2,2019,20932000.0
4442,1,2020,37937000.0
3691,5,2022,36681000.0
930,5,2017,6799000.0
4687,5,2017,32033000.0
2946,3,2017,20063000.0
3159,1,2015,17432000.0
2089,5,2024,23736000.0
3456,1,2017,23312000.0
3181,2,2017,21582000.0
4680,2,2018,34474000.0
2751,5,2015,15616000.0
4920,5,2023,51668000.0
1571,2,2022,15620000.0
1704,2,2015,9556000.0
4418,1,2019,35085000.0
1667,2,2016,10410000.0
2184,5,2024,24818000.0
3799,2,2021,34891000.0
3267,1,2024,35806000.0
3457,4,2018,25728000.0
4969,4,2017,33745000.0
1060,1,2015,5907000.0
2105,1,2018,15550000.0
1972,5,2018,15155000.0
4178,2,2023,43408000.0
756,2,2018,5776000.0
4262,2,2024,46875000.0
2454,2,2017,16737000.0
1316,5,2018,10297000.0
2935,2,2024,32393000.0
2134,5,2022,21643000.0
1473,1,2021,13567000.0
4964,1,2022,48387000.0
2523,4,2023,26909000.0
3465,1,2021,31751000.0
701,4,2019,6121000.0
2931,3,2021,27230000.0
2918,3,2020,25327000.0
3955,3,2016,24524000.0
4726,3,2018,34836000.0
1431,2,2023,15107000.0
2487,1,2019,19713000.0
3287,2,2018,24260000.0
4805,5,2022,47569000.0
3110,2,2021,28708000.0
4682,3,2016,28899000.0
2559,3,2023,26917000.0
807,2,2023,8665000.0
1652,4,2022,16725000.0
775,2,2020,6923000.0
1708,1,2018,12639000.0
2992,5,2015,17017000.0
3036,1,2022,29587000.0
1137,5,2024,13478000.0
1270,5,2018,9926000.0
594,4,2024,7291000.0
3798,5,2020,33155000.0
2844,2,2024,31392000.0
3591,5,2020,31239000.0
4412,1,2020,37661000.0
1934,1,2019,15447000.0
680,3,2018,5350000.0
2871,1,2021,26346000.0
4354,4,2018,32260000.0
2687,2,2015,15059000.0
3146,1,2020,26969000.0
4033,4,2019,32407000.0
3437,5,2015,19475000.0
2145,5,2018,16388000.0
2052,3,2016,12868000.0
3724,5,2023,39287000.0
2697,2,2015,15027000.0
1634,1,2020,14050000.0
525,4,2015,3237000.0
1988,3,2018,14926000.0
1456,5,2021,14084000.0
2413,4,2020,21258000.0
3434,5,2022,34234000.0
1969,1,2022,19261000.0
3221,3,2015,18037000.0
2396,3,2019,19368000.0
1428,5,2017,10122000.0
3311,4,2015,18561000.0
969,3,2023,10545000.0
2835,1,2021,25975000.0
1025,5,2022,10850000.0
2363,4,2017,16302000.0
2220,3,2021,20750000.0
1091,4,2022,11350000.0
2822,5,2016,17689000.0
4010,5,2017,27445000.0
707,5,2023,8278000.0
4762,1,2024,52149000.0
3921,1,2018,28779000.0
4589,3,2019,36718000.0
2410,3,2017,16496000.0
3360,4,2021,31217000.0
716,2,2018,5486000.0
524,3,2015,3238000.0
4663,1,2023,48286000.0
3526,1,2022,34525000.0
2782,2,2021,25744000.0
2240,2,2015,12545000.0
4887,2,2015,27135000.0
4281,1,2019,33988000.0
3275,4,2021,30446000.0
3103,1,2019,24717000.0
1662,4,2020,14736000.0
4575,3,2022,45008000.0
1123,1,2022,11059000.0
1270,2,2019,10282000.0
4551,4,2024,50507000.0
1741,2,2017,11958000.0
3211,2,2019,25704000.0
1321,1,2019,10643000.0
4903,5,2016,30477000.0
1698,2,2021,15815000.0
3497,5,2021,32728000.0
3095,1,2023,32073000.0
1307,4,2020,11790000.0
3965,5,2019,32122000.0
2621,4,2017,18076000.0
4893,5,2016,30449000.0
4386,2,2017,29600000.0
1230,5,2024,14364000.0
2295,1,2017,15501000.0
2323,2,2020,20162000.0
3966,2,2023,41327000.0
4111,3,2016,25442000.0
699,1,2023,7368000.0
1947,3,2019,15821000.0
2889,4,2015,16317000.0
3616,4,2022,35902000.0
3350,2,2018,24726000.0
2454,1,2015,13538000.0
2292,5,2020,20249000.0
1983,1,2016,12239000.0
697,1,2021,6525000.0
1394,5,2017,10008000.0
636,1,2015,3534000.0
2737,4,2021,25621000.0
2757,1,2017,18536000.0
1892,4,2017,13227000.0
3919,4,2018,29139000.0
668,5,2018,5565000.0
3352,2,2016,20656000.0
4772,4,2022,47002000.0
2061,3,2022,20522000.0
4919,5,2022,48534000.0
1008,2,2021,9514000.0
3686,4,2021,34258000.0
2277,3,2015,12757000.0
3861,5,2023,40739000.0
646,1,2020,5615000.0
4817,4,2020,41590000.0
3062,1,2020,26230000.0
1408,5,2018,11035000.0
3313,4,2018,24616000.0
4195,5,2019,33903000.0
3913,2,2020,33592000.0
923,1,2015,5092000.0
4123,1,2024,45203000.0
4234,3,2020,36499000.0
3986,5,2018,29735000.0
4229,5,2023,44550000.0
1467,2,2020,12888000.0
4870,3,2017,32953000.0
1360,5,2017,9738000.0
933,5,2019,8009000.0
1929,4,2023,20616000.0
4797,4,2016,29723000.0
4429,5,2019,35724000.0
3046,3,2019,24495000.0
829,1,2023,8723000.0
4112,1,2023,42575000.0
709,4,2018,5696000.0
4468,3,2018,32950000.0
1540,4,2017,10763000.0
664,5,2021,6887000.0
1106,4,2017,7837000.0
1719,1,2024,18965000.0
1831,3,2020,16062000.0
4732,1,2023,49013000.0
1452,4,2020,12927000.0
3665,3,2017,24930000.0
3298,4,2024,36865000.0
660,2,2018,5045000.0
2695,5,2018,20395000.0
1611,5,2017,11429000.0
3585,5,2015,20262000.0
2408,3,2024,26905000.0
3499,4,2017,23973000.0
3263,3,2016,20226000.0
1232,1,2019,9793000.0
781,2,2024,8994000.0
4354,1,2020,37188000.0
1808,2,2020,15661000.0
3896,5,2019,31564000.0
1095,2,2018,8245000.0
1147,5,2023,12777000.0
4540,1,2016,27742000.0
1073,2,2019,8834000.0
756,1,2015,4227000.0
3708,1,2015,20497000.0
3779,2,2023,39310000.0
1528,3,2017,10552000.0
4944,2,2020,42401000.0
3489,5,2019,28302000.0
1086,4,2024,12659000.0
3791,4,2019,30576000.0
3367,3,2017,22911000.0
1239,3,2015,7204000.0
3945,1,2019,31416000.0
937,3,2022,9593000.0
4398,2,2020,37631000.0
4511,5,2024,50168000.0
2347,5,2023,25061000.0
2032,5,2016,12959000.0
1520,4,2016,9671000.0
1441,1,2021,13275000.0
3403,1,2022,33229000.0
949,1,2023,9932000.0
3898,1,2024,42673000.0
3625,4,2019,29175000.0
1316,4,2021,12638000.0
2607,4,2016,16295000.0
2190,3,2021,20476000.0
4759,1,2018,34796000.0
4142,3,2020,35685000.0
1445,3,2017,10044000.0
701,5,2020,6712000.0
2305,1,2021,21199000.0
2362,2,2015,13160000.0
1050,3,2023,11456000.0
4251,1,2022,41454000.0
2172,1,2017,14692000.0
2540,1,2015,14129000.0
1403,3,2020,12448000.0
1004,3,2017,7114000.0
4311,1,2019,34173000.0
1979,4,2018,14961000.0
4996,5,2020,43285000.0
3628,3,2016,22487000.0
4321,3,2020,37295000.0
3211,4,2020,27997000.0
780,1,2017,5330000.0
1528,4,2016,9675000.0
3160,4,2022,31390000.0
2853,1,2019,22747000.0
2891,3,2017,19731000.0
653,3,2016,4347000.0
4360,1,2017,29306000.0
2905,5,2019,23659000.0
3245,2,2023,33865000.0
1553,4,2015,8865000.0
3477,1,2018,25513000.0
4393,2,2019,35067000.0
3179,5,2023,33719000.0
3495,4,2017,23958000.0
4603,1,2016,28143000.0
3165,1,2018,23268000.0
3557,4,2022,35224000.0
4468,4,2015,24976000.0
1351,3,2022,13634000.0
1900,4,2020,16813000.0
4293,5,2016,26796000.0
3831,3,2020,33138000.0
626,3,2016,4131000.0
1077,3,2017,7573000.0
1304,5,2017,9329000.0
3524,4,2019,28380000.0
612,1,2017,4256000.0
2467,1,2020,21158000.0
1150,3,2019,9505000.0
4833,1,2022,47095000.0
1884,3,2020,16439000.0
563,4,2023,6546000.0
4499,4,2016,27867000.0
4488,4,2019,36091000.0
3002,3,2015,16832000.0
4016,5,2017,27439000.0
3171,4,2021,29496000.0
2887,5,2017,19900000.0
2368,5,2018,17935000.0
3941,1,2024,43220000.0
2774,4,2015,15670000.0
2463,4,2017,16906000.0
3456,5,2018,25953000.0
4398,2,2019,35054000.0
4469,2,2019,35577000.0
1198,3,2019,9847000.0
792,2,2022,8200000.0
1337,3,2024,15228000.0
4599,5,2024,51327000.0
4622,4,2016,28691000.0
1236,3,2021,11761000.0
2796,3,2020,24279000.0
4961,1,2019,39402000.0
2471,4,2018,18607000.0
3773,4,2023,39720000.0
697,3,2023,7734000.0
2171,3,2019,17566000.0
3185,4,2017,21883000.0
1106,2,2017,7712000.0
2620,1,2024,28789000.0
4842,2,2023,50320000.0
1659,5,2018,12706000.0
2231,3,2019,18008000.0
2761,3,2024,30686000.0
3895,4,2020,33810000.0
2875,5,2015,16344000.0
1095,2,2024,12339000.0
2804,5,2017,19359000.0
4217,2,2019,33737000.0
3919,4,2021,36436000.0
1631,2,2015,9098000.0
2503,5,2017,17299000.0
4091,4,2022,40426000.0
3721,2,2018,27429000.0
2521,2,2020,21732000.0
2207,1,2018,16170000.0
2082,2,2020,17999000.0
500,1,2019,4188000.0
1191,5,2023,13193000.0
3646,2,2022,35805000.0
3047,1,2017,20494000.0
3286,4,2015,18533000.0
3183,3,2015,17795000.0
843,5,2021,8532000.0
4878,4,2024,54028000.0
3687,4,2016,22984000.0
1327,5,2015,7768000.0
2349,4,2020,20580000.0
2721,4,2017,18787000.0
3704,1,2017,24941000.0
4013,3,2017,27235000.0
593,4,2018,4875000.0
2967,3,2020,25757000.0
4278,1,2024,46975000.0
904,5,2022,9659000.0
1709,3,2016,10815000.0
875,1,2023,9158000.0
4445,1,2022,43395000.0
3250,1,2024,35610000.0
997,3,2018,7644000.0
1938,2,2015,10792000.0
1238,4,2018,9576000.0
3790,1,2024,41588000.0
2475,5,2019,20300000.0
2062,2,2016,12845000.0
960,2,2021,9115000.0
4174,1,2024,45798000.0
3623,5,2019,29292000.0
2338,4,2021,22015000.0
1968,1,2024,21710000.0
3966,3,2019,31799000.0
4543,3,2024,50206000.0
4923,4,2016,30412000.0
3487,5,2018,26121000.0
3963,3,2015,22062000.0
3792,2,2015,21078000.0
3381,5,2022,33840000.0
3408,3,2016,21066000.0
834,2,2023,9079000.0
1241,5,2022,13013000.0
1743,1,2017,11933000.0
600,3,2016,3996000.0
2963,5,2019,24165000.0
2769,5,2016,17407000.0
674,4,2019,5899000.0
1105,1,2024,12281000.0
4245,5,2019,34283000.0
4308,2,2023,44747000.0
2269,5,2021,21500000.0
1348,5,2022,14032000.0
1590,5,2023,17411000.0
2673,5,2018,20157000.0
1662,5,2020,14891000.0
1679,2,2021,15650000.0
1196,3,2022,12137000.0
4917,3,2023,51318000.0
2996,3,2018,22275000.0
3257,2,2015,18098000.0
4428,1,2020,37823000.0
4547,1,2019,36068000.0
2551,5,2016,16075000.0
3810,2,2022,37413000.0
2247,4,2016,14220000.0
3404,5,2022,33922000.0
1402,4,2019,11712000.0
4368,5,2015,24574000.0
1104,1,2023,11565000.0
4186,4,2024,46500000.0
1369,5,2022,14135000.0
3951,1,2018,28978000.0
4281,3,2024,47411000.0
1853,3,2019,15042000.0
600,4,2019,5279000.0
1345,4,2018,10390000.0
1171,4,2015,6894000.0
4165,2,2018,30707000.0
3607,4,2022,35776000.0
737,5,2020,6987000.0
1805,3,2022,17991000.0
521,1,2021,4999000.0
1753,5,2023,19101000.0
900,2,2017,6251000.0
1506,3,2016,9454000.0
3691,1,2024,40603000.0
2201,3,2017,15160000.0
2234,1,2021,20547000.0
3918,5,2019,31775000.0
1086,4,2022,11163000.0
1330,4,2022,13568000.0
2108,5,2021,20067000.0
3705,4,2017,25301000.0
1837,5,2017,12917000.0
4047,1,2021,37059000.0
887,5,2017,6549000.0
3266,2,2019,26126000.0
4422,3,2018,32628000.0
1721,1,2024,19064000.0
2424,4,2019,19737000.0
1209,5,2015,7144000.0
947,1,2024,10575000.0
850,3,2018,6595000.0
1164,2,2024,13097000.0
4215,4,2022,41631000.0
4921,1,2023,50983000.0
924,4,2024,10805000.0
4760,1,2020,40711000.0
1701,2,2022,16951000.0
4011,1,2019,31855000.0
3212,3,2019,25819000.0
1173,4,2015,6913000.0
2438,5,2021,23090000.0
1253,1,2016,7779000.0
2473,1,2023,25700000.0
4642,3,2016,28722000.0
3187,1,2015,17652000.0
837,3,2022,8703000.0
4096,1,2017,27641000.0
4202,5,2023,44249000.0
2338,1,2020,20015000.0
3434,3,2017,23377000.0
4884,3,2016,30104000.0
615,5,2015,3895000.0
3184,5,2018,23956000.0
3746,5,2024,41949000.0
3046,1,2022,29725000.0
3904,4,2016,24284000.0
4458,5,2020,38729000.0
3133,4,2017,21475000.0
4742,5,2017,32405000.0
3320,5,2015,18820000.0
2299,2,2019,18518000.0
3191,2,2021,29513000.0
1572,5,2015,9161000.0
3648,2,2021,33617000.0
4712,2,2018,34674000.0
2017,3,2019,16309000.0
2084,2,2023,21933000.0
2502,4,2023,26677000.0
2727,5,2022,27367000.0
3109,5,2023,33061000.0
3643,4,2018,27155000.0
4005,1,2018,29329000.0
4578,5,2019,36821000.0
